# Paper Table-1 targets: BWT (Acc) per dataset/method/mode/eps.
# TRANSCRIBED FROM THE PDF (Brainwash.pdf, Table 1) — sanity-check against the paper before
# relying on any single cell. The reproduced numbers from collect_results.py are ground truth;
# these are only a comparison guide. clean has no eps (use -). ANCL omitted (not in repo).
# Verified-against-our-run anchors: cifar100/ewc reckless 0.3 = -29.1 (25.5); clean = -5.2 (68.3).
#
# dataset	method	mode	eps	bwt	acc
cifar100	ewc	clean	-	-5.2	68.3
cifar100	ewc	uniform	0.1	-5.1	67.0
cifar100	ewc	cautious	0.1	-9.5	58.8
cifar100	ewc	reckless	0.1	-12.6	51.0
cifar100	ewc	uniform	0.3	-12.2	57.5
cifar100	ewc	cautious	0.3	-24.7	42.2
cifar100	ewc	reckless	0.3	-29.1	25.5
cifar100	afec_ewc	clean	-	-2.9	65.6
cifar100	afec_ewc	uniform	0.1	-3.6	64.1
cifar100	afec_ewc	cautious	0.1	-7.9	57.2
cifar100	afec_ewc	reckless	0.1	-8.8	55.4
cifar100	afec_ewc	uniform	0.3	-14.4	52.4
cifar100	afec_ewc	cautious	0.3	-24.2	40.9
cifar100	afec_ewc	reckless	0.3	-24.6	36.9
cifar100	mas	clean	-	-1.8	62.6
cifar100	mas	uniform	0.1	-1.8	67.7
cifar100	mas	cautious	0.1	-5.8	61.4
cifar100	mas	reckless	0.1	-6.4	53.7
cifar100	mas	uniform	0.3	-9.6	67.5
cifar100	mas	cautious	0.3	-22.8	50.7
cifar100	mas	reckless	0.3	-17.9	45.0
cifar100	rwalk	clean	-	-6.0	70.1
cifar100	rwalk	uniform	0.1	-5.1	68.5
cifar100	rwalk	cautious	0.1	-16.3	55.8
cifar100	rwalk	reckless	0.1	-14.5	62.8
cifar100	rwalk	uniform	0.3	-25.5	48.8
cifar100	rwalk	cautious	0.3	-32.5	47.0
cifar100	rwalk	reckless	0.3	-21.6	53.5
mini	ewc	clean	-	-3.9	56.8
mini	ewc	uniform	0.1	-1.5	64.2
mini	ewc	cautious	0.1	-15.0	42.5
mini	ewc	reckless	0.1	-23.1	28.3
mini	ewc	uniform	0.3	-14.6	58.0
mini	ewc	cautious	0.3	-27.9	32.2
mini	ewc	reckless	0.3	-34.4	22.5
mini	afec_ewc	clean	-	-1.3	53.3
mini	afec_ewc	uniform	0.1	-1.4	52.9
mini	afec_ewc	cautious	0.1	-14.7	39.7
mini	afec_ewc	reckless	0.1	-22.6	30.9
mini	afec_ewc	uniform	0.3	-15.1	37.9
mini	afec_ewc	cautious	0.3	-27.6	22.8
mini	afec_ewc	reckless	0.3	-38.2	13.2
mini	mas	clean	-	-6.7	54.6
mini	mas	uniform	0.1	-6.9	57.2
mini	mas	cautious	0.1	-25.7	40.3
mini	mas	reckless	0.1	-30.3	23.6
mini	mas	uniform	0.3	-18.8	48.8
mini	mas	cautious	0.3	-39.8	22.6
mini	mas	reckless	0.3	-38.4	16.4
mini	rwalk	clean	-	-5.6	66.3
mini	rwalk	uniform	0.1	-8.4	53.6
mini	rwalk	cautious	0.1	-13.5	55.9
mini	rwalk	reckless	0.1	-17.9	38.0
mini	rwalk	uniform	0.3	-22.6	38.0
mini	rwalk	cautious	0.3	-21.4	37.4
mini	rwalk	reckless	0.3	-27.4	22.4
